id,name,city,latitude,longitude,totalBeds,erBeds,phone,website,specialties,data_status,notes
mh-14721,Usha Maternity and Nursing Home,mumbai,19.2107733,73.1868328,30,1,8000412681,,"Gynecology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14722,Yesha Onco Surgical Care,mumbai,20.9467019,72.9520348,40,3,7465106484,,General Surgery,estimated,Estimated/inferred where public source was unavailable
mh-14723,Shroff Eye Clinic,mumbai,18.9435836,72.8228706,8,1,8701775157,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14724,Smt. Kamladevi Gauridutt Mittal Ayurvedic Hosp,mumbai,19.1055042,72.8500559,60,7,8020846696,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14725,Dholkawalla Maternity Home,mumbai,18.952263,72.8340598,60,3,9867309226,,Gynecology,estimated,Estimated/inferred where public source was unavailable
mh-14726,The Hussonally Abdulally Dholkawalla Wakf Charity Trust,mumbai,18.952263,72.8340598,60,4,7959912470,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14728,Bay View Clinic,mumbai,19.0759837,72.8776559,20,2,9559533674,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14730,"Brahman Sabha, Mumbai. Mhaskar Gruh And General Nu",mumbai,18.9575324,72.8190671,60,1,8876562974,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14731,Chhaya Surgical Home,mumbai,19.2461644,72.8509056,40,3,9135375926,,General Surgery,estimated,Estimated/inferred where public source was unavailable
mh-14734,Dr. Rajesh D Mody - V.P.Road,mumbai,19.0759837,72.8776559,60,6,8331108233,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14736,Dr.Pai Dhungat Maternity and Nursing Home,mumbai,19.0176169,72.8561288,30,2,9199165597,,"Gynecology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14737,Endocrine Metabolic Laboratory,mumbai,18.956084,72.8151877,60,4,7615920407,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14739,Hematology Laboratory,mumbai,19.0759837,72.8776559,60,3,9779075243,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14742,Lotus Clinic,mumbai,49.0226838,12.3033548,20,1,9301469264,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14747,Trinity Clinic Pvt.Ltd,mumbai,18.9570051,72.8239724,20,1,7532577697,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14749,V.A.D.T Nursing Home,mumbai,19.0759837,72.8776559,30,1,7991504361,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14751,Indu Clinic,mumbai,18.9276348,72.8330646,20,2,9229513535,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14752,Inhs Asvini,mumbai,18.9002475,72.8152995,60,2,7529722198,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14753,Sujata Medicare (Sujata Gyanaecology Clinic),mumbai,19.1198548,72.8464601,20,2,7701855469,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14754,Zaveri Eye Clinic,mumbai,19.0723058,73.0006774,8,1,8707335708,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14755,Kataria Eye Clinic,mumbai,18.9190478,72.8294948,8,1,7510658601,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14757,Aayush Eye Clinic,mumbai,19.0597308,72.8989478,8,1,9971844616,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14758,Bombay City Eye Institute and Research Center,mumbai,18.956136,72.8081781,8,1,7857738461,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14760,Dr Galas Nursing Home,mumbai,18.9591784,72.8145383,30,1,8890721875,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14761,Dr Turners S Speciality Dental Centre,mumbai,19.0759837,72.8776559,10,1,9354769183,,"ENT, Dentistry",estimated,Estimated/inferred where public source was unavailable
mh-14763,Dr. Nisars Eye Care Centre,mumbai,18.9636754,72.8161899,8,1,7198295174,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14765,Dr.Mangeshikar Clinic,mumbai,18.9602406,72.8103742,20,2,9394544364,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14766,Eye-Q Vision Care,mumbai,18.95753,72.8088794,8,1,7917066981,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14768,Infiniti Eye Hospital,mumbai,19.0759837,72.8776559,8,1,7151014492,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14769,Mangeshikar Access Gynecology and Infertility Center,mumbai,18.9591937,72.8122626,60,6,8289001272,,"Gynecology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14770,N M Medical Centre,mumbai,18.9576029,72.8103199,60,7,8374094674,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14771,New Babulnath Ent Clinic,mumbai,18.9653852,72.8147262,20,2,8045520669,,"ENT, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14772,Palshetkar Patil Nursing Home,mumbai,18.9537342,72.8183134,30,1,8475368327,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14773,Samyak Drishti Eye Centre,mumbai,18.9563549,72.8133985,8,1,8322352588,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14774,Shah Eye Clinic and Nursing Home,mumbai,19.0759837,72.8776559,8,1,7385676585,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14775,The Vascular Clinic,mumbai,18.9586748,72.8110314,20,1,9449529514,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14776,Eye Site,mumbai,19.2147763,73.0864218,8,1,7703678212,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14777,Ipc Heart Care,mumbai,19.0176169,72.8561288,40,1,7537796247,,Cardiology,estimated,Estimated/inferred where public source was unavailable
mh-14778,Madhura Nursing Home,mumbai,19.381244,72.830237,30,3,7337298847,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14779,Nagori Clinic And Nursing Home,mumbai,18.9688538,72.8283084,20,1,8070392496,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14781,Sadhu-Kamal Eye Hospital,mumbai,18.965987,72.818904,8,1,7878573663,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14782,Swastik Nursing Home,mumbai,19.0552812,72.8892082,30,1,8436227250,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14783,M.H. Saboo Siddique Maternity and General Hospital - Masjid,mumbai,18.9506004,72.8382547,120,10,8434035513,,Gynecology,estimated,Estimated/inferred where public source was unavailable
mh-14784,Gokul Hospital,mumbai,19.1330996,72.8372689,120,10,9580815589,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14785,Prince Aly Khan Hospital,mumbai,18.970835,72.8357489,120,8,7879237548,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14788,Sankalp Eye Care Centre,mumbai,18.9927476,72.8310679,8,1,9256048351,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14790,Dr Chetan Shetty Clinic,mumbai,19.0176169,72.8561288,20,1,8520214772,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14791,Dr G M Bhargava Clinic,mumbai,18.99833,72.83864,20,1,9402319214,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14792,Dr.Zankars Diagnostic Centre,mumbai,18.9952875,72.8364244,60,3,7810170723,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14794,K B H B Charitable Ophthalmic and E.N.T Hospital,mumbai,19.0021567,72.8415793,8,1,7170831308,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14795,K B Haji Bachooali Charitable Ophthalmic and E N T H,mumbai,19.003095,72.8393973,8,1,9387219935,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14796,Municipal Corporation Of Greater Mumbai,mumbai,19.0857348,72.9138503,60,4,7355406834,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14797,N S Optical Contact Lens Clinic Ghatkopar,mumbai,18.9840396,72.835737,20,2,9622808325,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14799,Parel Institute Of Orthopaedic Specialities,mumbai,19.004888,72.8456268,60,7,9451969528,,Orthopedics,estimated,Estimated/inferred where public source was unavailable
mh-14802,Harish Nursing Home,mumbai,18.991758,72.831223,30,2,8669477895,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14803,Jain Diagnotic Centre,mumbai,18.9915925,72.8315014,60,5,7616643444,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14804,Akshi Eye Centre,mumbai,19.0187123,72.8480251,8,1,8206165847,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14806,Ashirvad Clinic(Dr.Vandana Walvekar),mumbai,19.021324,72.8424178,20,2,7066668486,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14807,Ashirwad Transfusion And Chemotherapy Centre,mumbai,19.0759837,72.8776559,60,3,8743317913,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14809,Asmi Arthroscopy and Sports Medicine Institute,mumbai,19.019119,72.848349,60,4,7178620461,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14810,B N D Onco Center,mumbai,19.016976,72.847592,60,4,9519361847,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14811,Dr Khandeparkars Nursing Home,mumbai,19.0194936,72.8467661,30,2,8218911684,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14812,Dr Kulkarni Hospital,mumbai,19.1365997,72.8566074,120,10,9058256803,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14813,Dr M B Agarwalclinic,mumbai,19.0759837,72.8776559,20,2,8861824005,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14814,Dr R M Jangada Clinic Dadar,mumbai,19.0146087,72.8427525,20,1,9506570315,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14815,Dr. Karmarkar Hospital,mumbai,19.0160002,72.8431146,120,5,8803665772,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14817,Elixir Hospital,mumbai,19.0187882,72.848917,120,14,9789904989,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14818,G S B S Medical Trust,mumbai,19.0099129,72.8426858,60,5,7478201734,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14819,Haematology Centre,mumbai,19.0759837,72.8776559,60,5,9054500807,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14821,Krishna Cardiac Care Centre,mumbai,19.0228246,72.8534206,40,3,9729322464,,"Cardiology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14822,Laud Clinic,mumbai,19.020546,72.8487169,20,1,8200227870,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14823,Navneet Jain Health Center,mumbai,19.0207984,72.8384577,60,3,9498687218,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14826,Prof (Dr.) M B Agarwals Haematology Day Care Centr,mumbai,19.0759837,72.8776559,60,5,9465873319,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14827,Shree Samarth Nursing Home,mumbai,18.9635287,72.8280994,30,3,8160436341,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14828,Shrikhande Clinic,mumbai,19.021324,72.8424178,20,1,7654557954,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14829,Suprabha Surgicare,mumbai,19.0099129,72.8426858,60,3,7958638433,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14830,Dr. Haresh L Gala Clinic-Acharya Donde Marg.,mumbai,19.0759837,72.8776559,20,2,9804087313,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14831,Sewree Nursing Home,mumbai,19.0759837,72.8776559,30,3,8583813894,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14833,Dr. Fonsecas Maternity and Surgical Home,mumbai,19.0414516,72.8453359,40,1,8738520948,,"General Surgery, Gynecology",estimated,Estimated/inferred where public source was unavailable
mh-14834,Dr. Mathure`S Surgical Clinic,mumbai,19.0351534,72.8404432,20,2,8396050542,,"General Surgery, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14835,"Dr.(Mrs,) Renu L. Vallicha",mumbai,19.0351534,72.8404432,60,4,7546207706,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14836,Dr.Koppikars Family Clinic,mumbai,19.0334876,72.8463712,20,1,9113712735,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14837,Gupte Maternity and Surgical Home,mumbai,19.0298134,72.8398724,40,2,9225431841,,"General Surgery, Gynecology",estimated,Estimated/inferred where public source was unavailable
mh-14839,Nadkarni Clinic,mumbai,19.0351534,72.8404432,20,2,8817285049,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14840,Netra Retina And Laser Centre,mumbai,19.0353124,72.8436859,60,3,9534385272,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14841,North Bombay Clinic Surgical and Maternity Home,mumbai,19.0338576,72.8423219,20,1,8383266442,,"General Surgery, Gynecology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14842,P D Hinduja National Hospital and Medical Research Centre,mumbai,19.0374901,72.8390644,120,4,7717457790,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14845,Rajvi Clinic,mumbai,19.0281662,72.8382547,20,1,8184977846,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14846,S.L. Raheja Hospital,mumbai,19.032012,72.8401043,120,8,9259775240,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14847,Shree Saraswati Nursing Home,mumbai,19.0310674,72.8453376,30,2,7515925062,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14849,Triveni Nursing Home,mumbai,19.0313867,72.8379652,30,3,9631206707,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14850,Ayurseva Hospital,mumbai,19.0463778,72.8543168,120,12,8673060066,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14851,Bava Medical Centre,mumbai,19.0402084,72.8508504,60,2,7737152523,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14852,Dhanwantari Nursing Home and Diagnostic Centre,mumbai,19.0390744,72.8527492,30,3,7775810434,,"ENT, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14853,Dr. Sushil D Nakhates Child Care Centre and Shruti Nursing Home,mumbai,19.0480285,72.857092,30,2,9064650800,,"Pediatrics, ENT, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14854,Lfe Care Hospital - Dharavi,mumbai,19.0480285,72.857092,120,13,9598706151,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14856,Sai Medicure Services Pvt. Ltd. (Sai Hospital),mumbai,19.0402084,72.8508504,120,2,8001565618,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14859,Nirmal Clinic,mumbai,18.9872015,72.8290456,20,1,8261306942,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14860,R R A Podar Central Research Institute,mumbai,18.9997784,72.8169357,60,2,7993863721,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14862,Reliance Life Sciences Pvt. Ltd,mumbai,19.0062696,72.8206853,60,5,9481054653,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14863,Saarthi Hospital,mumbai,19.1509879,72.9315251,120,11,9010079177,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14864,The Bombay Mothers and Children Welfare Societys,mumbai,19.0031932,72.8192367,60,6,9759875820,,Pediatrics,estimated,Estimated/inferred where public source was unavailable
mh-14865,Dr Trivedis Maternity and Nursing Home,mumbai,19.0792247,72.9057813,30,3,9847825772,,"Gynecology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14866,Dr V T Shah Diagnostic Centre and Clinic,mumbai,19.023947,72.8529909,20,2,9111142460,,"ENT, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14867,Dr.Chhatres Maternity and Surgical Nursing Home,mumbai,19.0252685,72.8523958,30,3,8917947663,,"General Surgery, Gynecology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14868,Icon The Eye Consultants Eye and Laser Centre,mumbai,19.0336548,72.854459,8,1,9565631740,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14869,Insight Eye Clinic,mumbai,19.0759837,72.8776559,8,1,7032268199,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14870,Jashem Eye Institute,mumbai,19.0759837,72.8776559,8,1,7649546108,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14871,Lions Club Of East Bombay,mumbai,19.0099,72.820598,60,5,8619310638,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14872,Naik Nursing Home and Endoscopy Centre,mumbai,19.0962638,73.0111333,30,3,8400538894,,"ENT, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14875,Siddhamrut Clinic,mumbai,19.022637,72.851028,20,2,8185442844,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14876,Visaria Nursing Home - Matunga,mumbai,19.0304554,72.8469971,30,1,8299819217,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14877,Bombay Hospital and Medical Research Centre,mumbai,18.9389181,72.8286535,500,115,7893683018,https://www.bombayhospital.com,"Multi-specialty, Emergency Care, Critical Care, Cardiology, Oncology",verified,Verified from public source
mh-14879,Zain Eye Care,mumbai,18.9457243,72.8237605,8,1,9054791537,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14881,Lady Ratan Tata Medical Centre,mumbai,19.0759837,72.8776559,60,5,9686520130,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14882,Vinod Sharma Memorial Medical Centre,mumbai,19.0759837,72.8776559,60,1,8587815318,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14883,Ashirwad Nursing Home,mumbai,19.0394894,72.8597092,30,3,8433030305,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14884,Dr Savlas Child Care Centre,mumbai,19.0351454,72.8663173,60,1,7946169361,,"Pediatrics, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14885,Dr. Deosthaci's Eye Care Centre,mumbai,19.0397531,72.8611975,8,1,8832175616,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14886,Dr.Patrawala`S Kalpana Nursing Home,mumbai,19.0516931,72.8691602,30,1,7503432330,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14887,Endoscopy Asia,mumbai,19.0381054,72.8596712,60,5,7191234163,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14888,Gandhi Hospital - Navi Mumbai,mumbai,19.153192,72.9969872,120,4,8538236200,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14889,Iyers Polyclinic,mumbai,19.0351454,72.8663173,20,1,9754680086,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14891,Krishna Eye Centre,mumbai,19.0351454,72.8663173,8,1,9504112767,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14892,Mata Lachmi Hospital,mumbai,19.0349625,72.8601821,120,8,9089093218,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14893,Shanmukhananda Aditya Jyot Eye Institute - Sion - Mumbai,mumbai,19.0351454,72.8663173,8,1,9340642789,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14894,Shanmukhananda Jasubhai Rkshah Medical Centre,mumbai,19.0176169,72.8561288,60,5,8178468853,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14895,Shri Vaishnav Seva Samaj Public Charitable Trust -,mumbai,19.0390214,72.8618952,60,1,7166958050,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14897,Varun Cardiac Clinic,mumbai,19.082354,72.9051026,20,2,9964646535,,"Cardiology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14899,Amrutha Surgical And Maternity Home,mumbai,19.0898792,72.908696,40,1,7346364578,,"General Surgery, Gynecology",estimated,Estimated/inferred where public source was unavailable
mh-14900,Aryan Hospital and Iccu - Kurla-Mumbai,mumbai,19.0579437,72.8412418,120,1,9279164296,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14901,Ashvini Maternity and Surgical Nursing Home,mumbai,19.0639898,72.8825627,30,1,9936734378,,"General Surgery, Gynecology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14903,Asha Surgical and Maternity Home Laparoscopy and Famil,mumbai,19.0158466,72.8279973,40,4,8350771302,,"General Surgery, Gynecology",estimated,Estimated/inferred where public source was unavailable
mh-14905,Dr.D.M.Beke,mumbai,19.0759837,72.8776559,60,7,7082128278,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14907,Fayth Clinic,mumbai,19.0137008,72.8294379,20,1,7331237773,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14908,Punamiya Hospital,mumbai,19.0181462,72.8357351,120,1,9053534927,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14909,Savla Medical Center,mumbai,19.0158466,72.8279973,60,6,7921925813,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14910,Siddivinayak Healthcare Pvt Ltd,mumbai,19.0235976,72.8378125,60,1,7035883717,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14911,Sidhivinayk Clinic,mumbai,19.0096924,72.8299301,20,1,9175031273,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14912,Tirtha Surgical and Maternity Home,mumbai,19.0254538,72.8357672,40,3,8428400408,,"General Surgery, Gynecology",estimated,Estimated/inferred where public source was unavailable
mh-14914,Breach Candy Hospital Trust,mumbai,18.972711,72.804394,220,28,8543260664,https://www.breachcandyhospital.org,"Multi-specialty, Emergency Care, Critical Care",verified,Verified from public source
mh-14915,Doshi Eye Care,mumbai,18.9714675,72.8095069,8,1,8768705485,,Ophthalmology,estimated,Estimated/inferred where public source was unavailable
mh-14916,Gynaecworld,mumbai,19.0759837,72.8776559,60,1,9561535674,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14918,Right Sight Eye Clinic,mumbai,19.0759837,72.8776559,8,1,9679247523,,"Ophthalmology, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14919,Soonawala Clinic,mumbai,18.9678635,72.8089613,20,1,8004080823,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14921,Balaji Hospital,mumbai,18.9821993,72.8382547,120,5,8941827107,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14922,Ashtavinayak Maternity Surgical and Eye Hospital,mumbai,19.0759837,72.8776559,8,1,7280488729,,"Ophthalmology, General Surgery, Gynecology",estimated,Estimated/inferred where public source was unavailable
mh-14923,Ashvini Nursing and Maternity Home,mumbai,19.0235976,72.8378125,30,2,9004341748,,Gynecology,estimated,Estimated/inferred where public source was unavailable
mh-14924,Deccan Fertility Clinic and Keyhole Surgery Center,mumbai,19.0759837,72.8776559,20,2,8205214013,,"General Surgery, ENT, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14925,Dev Nursing Home,mumbai,19.0759837,72.8776559,30,3,9320904976,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14926,Dnyan Geeta Nursing Home,mumbai,19.0256197,72.8372812,30,3,9116070288,,General Medicine,estimated,Estimated/inferred where public source was unavailable
